,nneg,npos,FIPS,acteur,langue,mois,SHORT_NAME,tot_art
54122,0,14,IR,UIS,eng,1,Iran,14
54123,0,121,IR,OPP,spa,1,Iran,121
54124,0,11,IR,SYRMIL,eng,1,Iran,11
54125,0,7,IR,IRNGOV,srp,1,Iran,7
54126,0,1,IR,LEG,ell,1,Iran,1
54127,0,1,IR,EUR,pol,1,Iran,1
54128,0,7,IR,IRN,hin,1,Iran,7
54129,0,1,IR,MNCUSAMED,spa,1,Iran,1
54130,0,5,IR,USAELIGOV,eng,1,Iran,5
54131,0,3,IR,PSELEG,ara,1,Iran,3
54132,0,2,IR,EGYBUS,ara,1,Iran,2
54133,0,2,IR,GOVMED,axe,1,Iran,2
54134,0,1,IR,LUXGOV,deu,1,Iran,1
54135,0,2,IR,COP,ita,1,Iran,2
54136,0,34,IR,KOR,eng,1,Iran,34
54137,0,283,IR,OPP,deu,1,Iran,283
54138,0,65,IR,LBN,eng,1,Iran,65
54139,0,1,IR,SAU,ben,1,Iran,1
54140,0,33,IR,IRN,fin,1,Iran,33
54141,0,1,IR,SYR,ell,1,Iran,1
54142,0,1,IR,BGREDU,fas,1,Iran,1
54143,0,1,IR,CHNCOP,eng,1,Iran,1
54144,0,1,IR,OPPMOS,ara,1,Iran,1
54145,0,9,IR,MOSGOV,eng,1,Iran,9
54146,0,1,IR,CVL,dan,1,Iran,1
54147,0,1,IR,COP,hye,1,Iran,1
54148,0,1,IR,JEW,nld,1,Iran,1
54149,0,15,IR,TUR,ukr,1,Iran,15
54150,0,2,IR,CZE,fas,1,Iran,2
54151,0,1,IR,CRM,deu,1,Iran,1
54152,0,3,IR,USACOP,ell,1,Iran,3
54153,0,15,IR,FRA,bul,1,Iran,15
54154,0,132,IR,IRN,sqi,1,Iran,132
54155,0,10,IR,MIL,rus,1,Iran,10
54156,0,7,IR,RUS,swe,1,Iran,7
54157,0,1,IR,PRK,fin,1,Iran,1
54158,0,2,IR,JUD,axe,1,Iran,2
54159,0,1,IR,ISR,mkd,1,Iran,1
54160,0,2,IR,PRK,spa,1,Iran,2
54161,0,86,IR,GOVOPP,eng,1,Iran,86
54162,0,9,IR,LAB,fas,1,Iran,9
54163,0,1502,IR,USA,eng,1,Iran,1502
54164,0,10,IR,MED,hun,1,Iran,10
54165,0,1,IR,LEGGOV,hye,1,Iran,1
54166,0,66,IR,GOV,sqi,1,Iran,66
54167,0,1,IR,MED,urd,1,Iran,1
54168,0,6,IR,MED,tur,1,Iran,6
54169,0,2,IR,UAF,dan,1,Iran,2
54170,0,3,IR,ISR,ita,1,Iran,3
54171,0,1,IR,SYRGOV,fra,1,Iran,1
54172,0,10,IR,DEU,bul,1,Iran,10
54173,0,1,IR,IRNMIL,sqi,1,Iran,1
54174,0,1,IR,BFA,fra,1,Iran,1
54175,0,3,IR,GBRGOVHRI,eng,1,Iran,3
54176,0,1,IR,NGOCHRHRI,eng,1,Iran,1
54177,0,3,IR,ARE,ara,1,Iran,3
54178,0,1,IR,IRNCOP,rus,1,Iran,1
54179,0,1,IR,USAGOVLEG,eng,1,Iran,1
54180,0,1,IR,MOSSHIUAF,spa,1,Iran,1
54181,0,1,IR,CMR,eng,1,Iran,1
54182,0,1,IR,HLH,heb,1,Iran,1
54183,0,1,IR,PAKCVL,ukr,1,Iran,1
54184,0,1,IR,IGOWSTNATMIL,eng,1,Iran,1
54185,0,15,IR,EDU,spa,1,Iran,15
54186,0,4,IR,RUS,hin,1,Iran,4
54187,0,1,IR,NGOXFM,spa,1,Iran,1
54188,0,16,IR,EGY,eng,1,Iran,16
54189,0,2,IR,CRM,tur,1,Iran,2
54190,0,54,IR,BUS,fas,1,Iran,54
54191,0,2,IR,asy,eng,1,Iran,2
54192,0,2,IR,ISR,ron,1,Iran,2
54193,0,1,IR,MILUAF,eng,1,Iran,1
54194,0,14,IR,IRNMED,eng,1,Iran,14
54195,0,9,IR,ARM,eng,1,Iran,9
54196,0,1,IR,IGOEUREECMED,eng,1,Iran,1
54197,0,2,IR,HRI,eng,1,Iran,2
54198,0,5,IR,GOVMIL,rus,1,Iran,5
54199,0,122,IR,IRNHRI,eng,1,Iran,122
54200,0,2,IR,JEW,spa,1,Iran,2
54201,0,7,IR,IRN,lav,1,Iran,7
54202,0,51,IR,IRNCRM,eng,1,Iran,51
54203,0,1,IR,UAFRAD,ara,1,Iran,1
54204,0,4,IR,CHE,ron,1,Iran,4
54205,0,1,IR,YEMUAF,ara,1,Iran,1
54206,0,1,IR,SLV,eng,1,Iran,1
54207,0,1,IR,JORELIGOV,urd,1,Iran,1
54208,0,4,IR,PSE,tur,1,Iran,4
54209,0,1,IR,PSEREBSPY,eng,1,Iran,1
54210,0,38,IR,IRN,nld,1,Iran,38
54211,0,1,IR,JPN,fas,1,Iran,1
54212,0,1,IR,OMN,fas,1,Iran,1
54213,0,1,IR,TUR,slv,1,Iran,1
54214,0,1,IR,USAGOV,ben,1,Iran,1
54215,0,11,IR,OPP,ita,1,Iran,11
54216,0,1,IR,IGOEUREEC,ell,1,Iran,1
54217,0,1,IR,INT,rus,1,Iran,1
54218,0,1,IR,SAUMIL,tur,1,Iran,1
54219,0,2,IR,IGOEUREEC,est,1,Iran,2
54220,0,1,IR,MNCUSA,spa,1,Iran,1
54221,0,1,IR,BUS,hun,1,Iran,1
54222,0,1,IR,VEN,por,1,Iran,1
54223,0,2,IR,DEU,dan,1,Iran,2
54224,0,1,IR,IGOSEAASN,eng,1,Iran,1
54225,0,1,IR,REL,kor,1,Iran,1
54226,0,2,IR,REB,tur,1,Iran,2
54227,0,1,IR,USAGOV,mal,1,Iran,1
54228,0,1,IR,PHL,eng,1,Iran,1
54229,0,92,IR,UAF,ara,1,Iran,92
54230,0,1,IR,HLH,deu,1,Iran,1
54231,0,2,IR,CVL,srp,1,Iran,2
54232,0,1,IR,DEU,hin,1,Iran,1
54233,0,11,IR,CHE,ara,1,Iran,11
54234,0,3,IR,MIL,por,1,Iran,3
54235,0,3,IR,COPGOV,ara,1,Iran,3
54236,0,1,IR,SWEEDU,eng,1,Iran,1
